%time powercore powersram powertrans tempcore tempsram temptrans
3.49 0.19693 1.46737 0.38215 1.9801899482 1.48462840073 1.34424889319
3.491 0.20497 1.4652 0.40096 1.99820492789 1.48423056837 1.35539620765
3.492 0.19704 1.46737 0.38215 2.00020113809 1.48422889875 1.35662058251
3.493 0.19747 1.46737 0.38215 1.98094206458 1.48472650369 1.34434400641
3.494 0.20374 1.4652 0.40096 1.99661948094 1.48432453019 1.35549239597
3.495 0.19753 1.46737 0.38215 1.99815293876 1.48431820596 1.35671550725
3.496 0.19727 1.46737 0.38215 1.98147471174 1.4848155534 1.3444372103
3.497 0.20426 1.4652 0.40096 1.99756199663 1.48441553439 1.35558416785
3.498 0.19741 1.46737 0.38215 1.99943208717 1.48441028092 1.3568069651
3.499 0.19745 1.46737 0.38215 1.98191086815 1.48490780299 1.34452875762
3.5 0.20331 1.4652 0.40096 1.99566129419 1.4845045889 1.35567571913
3.501 0.19716 1.46737 0.38215 1.99603767214 1.48449379624 1.35689695979
3.502 0.19719 1.46737 0.38215 1.98009638094 1.48498861183 1.34461642274
3.503 0.20388 1.4652 0.40096 1.9961961997 1.48458749575 1.35576145759
3.504 0.19687 1.46737 0.38215 1.9968404376 1.48457947057 1.35698224238
3.505 0.19838 1.46723 0.38215 1.982710705 1.48504499507 1.34470260321
3.506 0.20301 1.46535 0.40096 1.9974856051 1.48467606276 1.35584982108
3.507 0.19733 1.46737 0.38215 1.99609115414 1.48470226655 1.35707237614
3.508 0.19905 1.46708 0.38215 1.98580845568 1.48510782017 1.34479426295
3.509 0.20259 1.46549 0.40096 1.9986205422 1.48476563037 1.3559431994
3.51 0.19693 1.46737 0.38215 1.9942324468 1.48482414401 1.35716634004
3.511 0.19912 1.46679 0.38215 1.98479241897 1.48513283525 1.34488718424
3.512 0.20237 1.46578 0.40096 1.99811437375 1.48484320112 1.35603475089
3.513 0.1971 1.46737 0.38215 1.99405547087 1.48497408157 1.35725653166
3.514 0.19963 1.46665 0.38215 1.98666263737 1.48519969498 1.34497681323
3.515 0.20188 1.46593 0.40096 1.99845713236 1.48493501911 1.35612472279
3.516 0.19681 1.46737 0.38215 1.99214529054 1.485096465 1.35734657483
3.517 0.20013 1.4665 0.38215 1.98706914782 1.48525826118 1.3450664205
3.518 0.20026 1.46607 0.40096 1.99547870203 1.48501428708 1.35621352056
3.519 0.19719 1.46737 0.38215 1.98849629037 1.48520610129 1.35743314544
3.52 0.20061 1.46636 0.38215 1.98886008768 1.48531208542 1.34515104574
3.521 0.19996 1.46622 0.40096 1.99611421032 1.48509915176 1.35629803864
3.522 0.19713 1.46737 0.38215 1.98771864741 1.48532456177 1.35751811156
3.523 0.20146 1.46607 0.38215 1.99098010566 1.48533716894 1.34523695892
3.524 0.20007 1.4665 0.40096 1.99904051011 1.48517998662 1.35638625844
3.525 0.19753 1.46737 0.38215 1.98963417428 1.48547993863 1.35760909746
3.526 0.20227 1.46593 0.38215 1.99470794086 1.48541252746 1.34533080366
3.527 0.19946 1.46665 0.40096 2.00022901051 1.48528066504 1.3564827815
3.528 0.19719 1.46737 0.38215 1.98747795262 1.48560923348 1.35770647009
3.529 0.20233 1.46578 0.38512 1.99381323285 1.48547499619 1.34748251926
3.53 0.19874 1.46679 0.39799 1.99835044294 1.4853642334 1.35689139771
3.531 0.19839 1.46737 0.38215 1.98858624012 1.48572960352 1.35591890188
3.532 0.20312 1.46549 0.39304 1.99933303084 1.48550990433 1.35279758356
3.533 0.19773 1.46708 0.39007 1.99858878149 1.48545536688 1.35771919246
3.534 0.19733 1.46737 0.38215 1.98331727934 1.48588311752 1.3509539448
3.535 0.20356 1.4652 0.40096 1.99709181842 1.4855368677 1.35764855411
3.536 0.19828 1.46737 0.38215 2.00088318617 1.48553784993 1.35835533026
3.537 0.19745 1.46737 0.38215 1.98539863818 1.48604166585 1.34589316499
3.538 0.2034 1.4652 0.40096 1.99738649586 1.48564091486 1.35695804192
3.539 0.19765 1.46737 0.38215 1.99892450351 1.48563097034 1.35812430562
3.54 0.19713 1.46737 0.38215 1.98267116253 1.48612718847 1.34582088439
3.541 0.20339 1.4652 0.40096 1.99612853814 1.48572308546 1.35694404585
3.542 0.19725 1.46737 0.38215 1.99760019993 1.48571166177 1.35815741532
3.543 0.19707 1.46737 0.38215 1.98124690724 1.48620647417 1.34586531224
3.544 0.20406 1.4652 0.40096 1.99759205696 1.48580480295 1.35700905528
3.545 0.19753 1.46737 0.38215 2.00035464705 1.48579939211 1.35822408197
3.546 0.19747 1.46737 0.38215 1.983563833 1.48629812345 1.34594610013
3.547 0.20342 1.4652 0.40096 1.99741065244 1.48589626297 1.3570892736
3.548 0.19677 1.46737 0.38215 1.99672786066 1.48588507436 1.35831229563
3.549 0.19707 1.46737 0.38215 1.98003547256 1.4863780346 1.34602887518
3.55 0.20348 1.4652 0.40096 1.99597314046 1.48597507941 1.35717454979
3.551 0.19725 1.46737 0.38215 1.99791941132 1.48596722465 1.35839225099
3.552 0.19773 1.46737 0.38215 1.98325794002 1.48646600826 1.34611305745
3.553 0.20386 1.4652 0.40096 1.99930142121 1.48606849424 1.35725818187
